year,hour,questionNumber,questionText,answer,reasoning
2020,1,1,"A big screen character when attempting to escape capture by the law, admitted to his partner that he couldn't swim. The partner tells him not to worry, as the fall will probably kill him. What is the first and last name of the actor who played the role of the character who could not swim?",Robert Redford,The question is clearly read multiple times starting around 18:13:33. The answer is explicitly stated at 18:19:13 as 'Robert Redford'. This is from the movie Butch Cassidy and the Sundance Kid. High confidence.
2020,1,2,What is the name of the National Service Organization which used black and white vans and Volkswagen bugs for their fleet of service vehicles?,Geek Squad,Question is read multiple times starting around 18:19:44. The correct answer is announced at 18:24:15 as 'Geek Squad'. High confidence.
2020,1,3,"What is the name of the animated television character who called two of his loving children, Mr Ed and Noodle Neck?",Homer Simpson,Question is read multiple times starting around 18:24:45. The correct answer is announced at 18:29:17 as 'Homer Simpson'. This refers to The Simpsons where Homer has children. High confidence.
2020,1,4,"A big screen prisoner's pet rodent one the prisoner said could talk to him was killed by a mean spirited prison guard but brought back to life by another prisoner, a prisoner with mysterious powers. According to the owner, what is the name of this rodent? Please give us the last name only.",Jingles,"Question is read multiple times starting around 18:29:47. The correct answer is announced at 18:34:49 as 'Jingles'. This is from The Green Mile. The instruction asks for last name only, and 'Jingles' is the pet mouse's name. High confidence. --- Question clearly stated as 'question number four hour one' with answer given as 'Jingles'. The question text is about an animated film character (pet rodent) named Jingles from a movie. Transcription is garbled in places but the question and answer are clear."
2020,1,5,"We are a lucky group of people living in such a technologically advanced period, and the tech companies have our well being close to their hearts. In fact, Panasonic advertised the following to introduce one of its products: 'This is our answer to the scratchy photograph record.' What is the name of this wonderful product?",Symphony Eight,"Question is read twice starting around 18:35:19 and 18:35:49. No answer is provided in this transcript chunk. The transcript ends while still waiting for submissions. The answer is likely referring to the compact disc (CD) as Panasonic's response to vinyl records, but this is not confirmed in the provided text. --- Identified as 'question number five of our one'. Answer clearly stated as 'Symphony Eight is the correct answer' at timestamp 18:40:51. This refers to Panasonic's compact disc player product."
2020,1,6,The host of a television series is seen driving a red Chevrolet Camaro SS at the beginning and end of each show. What is the name of that show?,Diners Drive-Ins and Dives,Marked as 'question number six' of 'hour one'. Answer confirmed as 'Diners drive ins and dives' at timestamp 18:45:52. This is the correct show where the host drives a red Camaro.
2020,1,7,What former Green Bay Packer was known as the Great Ghost of Gonzaga?,Tony Canadeo,Identified as 'question number seven' of 'our one'. Answer given as 'Tony Canaday' (likely spelled Canadeo) at timestamp 18:50:24. This is a factual answer about a famous Green Bay Packers player.
2020,1,8,"An animated film character seen playing a video game claims to have lived a video game. According to another character, the game playing character was supposed to be the meanest and most terrifying of its kind. In reality, he wasn't that scary, and because he lacked these traits, he was afraid his owner would replace him with another of his kind, one that fit the bad guy mold. What is the name of this animated character?",Rex,Marked as 'question number eight' of 'hour one'. Answer clearly stated as 'Rex' at timestamp 18:55:55. This refers to the character Rex from the Toy Story film series.
2020,2,1,"In the saga of Charlie and the M.T.A., at what time does Charlie's wife go down to the station to hand him a sandwich as the train goes rumbling through?",Quarter past two,Identified as 'question number one of our two'. Answer given as 'quarter past two' at timestamp 19:04:28. This refers to the song 'Charlie on the M.T.A.'
2020,2,2,"What is the first and last name of the personality who set the world record for the number of hours in front of a TV camera at 16,746 and one half hours?",Regis Philbin,Marked as 'question number two of our two'. Answer confirmed as 'Regis Philbin' at timestamp 19:09:30. This is a factual world record for television broadcasting.
2020,2,4,What is the first and last name of the animated character who claimed that Mike received a royalty check from Nike in the amount of one bazillion Somalians?,Bugs Bunny,"Identified as 'our to question four' (hour 2, question 4). Answer confirmed as 'Bugs Bunny' at timestamp 19:25:35. This is from a Looney Tunes cartoon featuring Bugs Bunny. --- Question explicitly asked for first and last name of animated character. Answer given as 'Bugs Bunny'. The question text is somewhat garbled in transcription ('one Brazilian Somalians' appears to be transcription error) but the answer is clear."
